age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
60,private,121127,10th,6,widowed,sales,not-in-family,white,female,0,0,40,united-states,<=50K
31,local-gov,206297,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50K
19,private,84747,hs-grad,9,never-married,sales,own-child,white,female,0,0,24,united-states,<=50K
27,private,57052,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,2885,0,40,united-states,<=50K
62,local-gov,291175,bachelors,13,widowed,prof-specialty,not-in-family,white,female,0,0,48,united-states,<=50K
49,private,228583,hs-grad,9,divorced,other-service,unmarried,white,male,0,0,40,columbia,<=50K
48,private,125892,9th,5,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,poland,<=50K
25,private,154941,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,>50K
25,state-gov,262664,bachelors,13,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50K
37,private,162494,bachelors,13,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
81,,106765,some-college,10,widowed,,unmarried,white,female,0,0,4,united-states,<=50K
41,state-gov,227734,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,3464,0,40,united-states,<=50K
22,private,283499,hs-grad,9,never-married,transport-moving,not-in-family,white,male,0,0,35,united-states,<=50K
47,self-emp-inc,186410,prof-school,15,never-married,other-service,not-in-family,white,male,0,0,60,united-states,>50K
36,private,33887,some-college,10,divorced,prof-specialty,not-in-family,white,male,0,0,40,united-states,<=50K
45,private,278151,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,<=50K
24,private,113466,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50K
23,private,172047,hs-grad,9,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50K
37,private,355856,bachelors,13,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,cambodia,>50K
26,state-gov,28366,bachelors,13,never-married,prof-specialty,not-in-family,white,male,0,0,40,united-states,<=50K
39,private,29814,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
47,private,227310,some-college,10,divorced,adm-clerical,unmarried,black,female,0,0,40,united-states,<=50K
49,private,139268,some-college,10,never-married,craft-repair,own-child,white,male,0,0,40,united-states,<=50K
63,private,106023,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50K
18,private,294253,hs-grad,9,never-married,other-service,own-child,white,female,0,0,27,united-states,<=50K
29,private,152461,bachelors,13,never-married,prof-specialty,unmarried,white,female,14344,0,50,united-states,>50K
35,private,336793,bachelors,13,never-married,adm-clerical,other-relative,white,male,0,0,40,united-states,<=50K
34,private,24266,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,7688,0,40,united-states,>50K
43,private,110970,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,1902,40,united-states,>50K
36,private,188540,bachelors,13,never-married,exec-managerial,not-in-family,white,male,0,0,40,united-states,<=50K
63,private,187635,hs-grad,9,never-married,exec-managerial,not-in-family,white,male,0,0,40,united-states,<=50K
35,private,175614,assoc-voc,11,divorced,prof-specialty,unmarried,white,female,0,0,40,united-states,>50K
42,private,161510,bachelors,13,married-civ-spouse,sales,husband,white,male,7298,0,40,united-states,>50K
43,private,233130,hs-grad,9,divorced,sales,not-in-family,white,male,0,0,20,united-states,<=50K
26,local-gov,386949,hs-grad,9,divorced,adm-clerical,unmarried,white,female,0,0,25,united-states,<=50K
55,private,104996,7th-8th,4,married-civ-spouse,transport-moving,husband,white,male,0,0,50,united-states,<=50K
25,private,47353,10th,6,married-civ-spouse,other-service,wife,white,female,0,0,40,united-states,<=50K
23,private,217961,some-college,10,never-married,handlers-cleaners,own-child,white,male,0,0,15,united-states,<=50K
37,self-emp-not-inc,326400,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,30,united-states,<=50K
62,private,109463,some-college,10,separated,sales,unmarried,white,female,0,1617,33,united-states,<=50K
18,private,236262,11th,7,never-married,handlers-cleaners,own-child,white,male,0,0,12,united-states,<=50K
55,,103654,hs-grad,9,widowed,,not-in-family,white,female,0,0,20,united-states,<=50K
36,private,99374,some-college,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50K
27,,224421,some-college,10,divorced,,own-child,white,male,0,0,40,united-states,<=50K
24,private,33088,11th,7,never-married,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50K
40,private,287008,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,15024,0,55,germany,>50K
33,private,93056,7th-8th,4,divorced,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50K
47,private,386136,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,35,united-states,<=50K
20,,195767,hs-grad,9,never-married,,own-child,white,male,0,0,40,united-states,<=50K
51,self-emp-not-inc,149220,some-college,10,married-civ-spouse,farming-fishing,husband,white,male,0,0,75,united-states,<=50K
47,private,316101,hs-grad,9,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
41,private,112181,bachelors,13,married-civ-spouse,sales,wife,white,female,0,0,12,united-states,>50K
38,private,174717,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,>50K
34,local-gov,353270,assoc-voc,11,never-married,craft-repair,own-child,white,female,0,0,40,united-states,<=50K
52,self-emp-not-inc,185407,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50K
37,self-emp-not-inc,137527,doctorate,16,never-married,prof-specialty,not-in-family,white,female,0,2559,60,united-states,>50K
22,private,85389,hs-grad,9,never-married,tech-support,own-child,white,male,0,0,40,united-states,<=50K
19,private,129059,some-college,10,never-married,sales,own-child,black,male,0,0,30,united-states,<=50K
31,private,159187,hs-grad,9,divorced,transport-moving,own-child,white,male,0,0,40,united-states,<=50K
24,private,182276,hs-grad,9,married-civ-spouse,other-service,wife,white,female,0,0,25,united-states,<=50K
20,,174461,hs-grad,9,never-married,,own-child,white,female,0,0,5,united-states,<=50K
42,private,87284,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,7298,0,35,united-states,>50K
45,private,38950,bachelors,13,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50K
26,private,31290,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,>50K
26,private,120238,bachelors,13,never-married,sales,other-relative,white,male,0,0,40,united-states,<=50K
31,private,117526,some-college,10,never-married,farming-fishing,not-in-family,white,female,0,0,45,united-states,<=50K
50,private,268553,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,7298,0,40,united-states,>50K
54,private,155433,hs-grad,9,married-civ-spouse,other-service,wife,white,female,0,0,35,united-states,<=50K
47,private,163814,10th,6,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
28,private,36601,some-college,10,never-married,other-service,unmarried,white,female,0,0,35,united-states,<=50K
68,private,75913,12th,8,widowed,sales,not-in-family,white,female,0,0,30,united-states,<=50K
48,private,276664,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,1902,50,united-states,>50K
32,private,191777,masters,14,never-married,adm-clerical,not-in-family,black,female,0,0,40,united-states,<=50K
38,private,204501,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,55,united-states,>50K
46,self-emp-inc,168796,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,55,united-states,<=50K
30,self-emp-inc,127651,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,1887,48,united-states,>50K
90,local-gov,187749,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,asian-pac-islander,male,0,0,20,philippines,<=50K
57,private,141570,masters,14,married-civ-spouse,exec-managerial,husband,black,male,0,1977,40,united-states,>50K
35,private,63021,some-college,10,divorced,sales,not-in-family,white,female,0,0,35,united-states,<=50K
42,state-gov,160369,hs-grad,9,never-married,protective-serv,not-in-family,white,male,0,0,40,united-states,>50K
54,federal-gov,27432,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,>50K
42,private,152568,hs-grad,9,widowed,sales,unmarried,amer-indian-eskimo,female,0,0,40,united-states,<=50K
41,private,46870,some-college,10,divorced,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50K
47,state-gov,118447,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,>50K
18,self-emp-not-inc,60981,11th,7,never-married,other-service,own-child,white,female,0,0,4,united-states,<=50K
63,,247986,prof-school,15,married-civ-spouse,,husband,white,male,0,0,30,united-states,>50K
21,private,199419,some-college,10,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
46,private,99385,bachelors,13,separated,exec-managerial,unmarried,white,female,0,0,40,united-states,<=50K
72,,303588,hs-grad,9,married-civ-spouse,,husband,white,male,0,0,20,united-states,<=50K
34,state-gov,318982,masters,14,married-civ-spouse,machine-op-inspct,husband,white,male,0,1848,40,united-states,>50K
47,private,169092,masters,14,divorced,prof-specialty,unmarried,white,female,0,0,50,united-states,>50K
59,self-emp-not-inc,223131,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,0,0,60,united-states,<=50K
59,local-gov,171328,hs-grad,9,separated,protective-serv,other-relative,black,female,0,2339,40,united-states,<=50K
46,private,328216,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50K
62,self-emp-inc,354075,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50K
23,private,140798,bachelors,13,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
47,private,184005,hs-grad,9,divorced,exec-managerial,not-in-family,amer-indian-eskimo,female,3325,0,45,united-states,<=50K
46,private,149949,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
50,local-gov,226497,some-college,10,married-civ-spouse,protective-serv,husband,white,male,0,0,52,united-states,>50K
43,private,106760,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,50,canada,>50K
52,self-emp-not-inc,40200,some-college,10,widowed,craft-repair,not-in-family,black,male,0,0,35,united-states,<=50K
26,private,152035,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
30,private,342709,hs-grad,9,married-spouse-absent,craft-repair,other-relative,white,male,0,0,40,united-states,<=50K
42,private,126098,hs-grad,9,separated,craft-repair,unmarried,black,female,0,0,40,united-states,<=50K
17,private,184198,11th,7,never-married,sales,own-child,white,female,0,0,13,united-states,<=50K
29,local-gov,205262,some-college,10,never-married,adm-clerical,not-in-family,other,male,0,0,40,ecuador,<=50K
40,private,234633,some-college,10,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50K
21,,124242,some-college,10,never-married,,own-child,white,female,0,0,40,united-states,<=50K
40,private,272343,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,>50K
68,private,351711,some-college,10,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,<=50K
40,private,289309,some-college,10,divorced,other-service,not-in-family,white,female,0,0,48,united-states,<=50K
23,private,112819,hs-grad,9,never-married,machine-op-inspct,own-child,white,male,0,0,40,united-states,<=50K
52,private,72743,hs-grad,9,married-spouse-absent,adm-clerical,not-in-family,white,female,0,0,50,united-states,<=50K
63,private,125954,hs-grad,9,never-married,machine-op-inspct,not-in-family,white,male,2174,0,40,united-states,<=50K
51,self-emp-inc,231230,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,25,united-states,<=50K
19,private,195985,hs-grad,9,never-married,other-service,not-in-family,white,female,0,0,40,united-states,<=50K
42,self-emp-not-inc,29320,prof-school,15,divorced,prof-specialty,unmarried,white,male,0,0,60,united-states,>50K
26,private,263200,some-college,10,divorced,adm-clerical,unmarried,white,female,0,0,38,united-states,<=50K
50,private,143953,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,65,united-states,>50K
41,private,113555,some-college,10,married-civ-spouse,craft-repair,husband,amer-indian-eskimo,male,7298,0,50,united-states,>50K
27,federal-gov,38645,bachelors,13,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50K
45,local-gov,348172,bachelors,13,married-civ-spouse,farming-fishing,husband,asian-pac-islander,male,7298,0,40,united-states,>50K
45,private,138626,assoc-voc,11,divorced,exec-managerial,not-in-family,white,male,2174,0,50,united-states,<=50K
21,private,170456,some-college,10,never-married,other-service,own-child,white,male,0,0,35,italy,<=50K
54,private,278329,hs-grad,9,married-spouse-absent,exec-managerial,not-in-family,white,female,0,0,43,united-states,<=50K
27,private,193898,bachelors,13,divorced,exec-managerial,not-in-family,white,male,0,0,52,united-states,<=50K
57,private,201991,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50K
22,private,341610,some-college,10,never-married,sales,not-in-family,white,male,0,0,35,,<=50K
23,federal-gov,41356,assoc-acdm,12,never-married,exec-managerial,unmarried,white,female,0,0,32,united-states,<=50K
50,private,266529,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
69,private,203313,hs-grad,9,widowed,other-service,not-in-family,white,female,991,0,18,united-states,<=50K
59,,154236,hs-grad,9,married-civ-spouse,,wife,white,female,7688,0,40,united-states,>50K
23,private,111450,some-college,10,never-married,adm-clerical,other-relative,black,male,0,0,22,united-states,<=50K
36,private,297449,bachelors,13,divorced,prof-specialty,not-in-family,white,male,14084,0,40,united-states,>50K
62,private,232308,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50K
45,private,34419,bachelors,13,never-married,transport-moving,not-in-family,white,male,0,0,30,united-states,<=50K
27,private,190525,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,7298,0,55,united-states,>50K
30,private,175931,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
35,local-gov,79649,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,<=50K
58,private,177368,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50K
24,private,464103,hs-grad,9,never-married,adm-clerical,not-in-family,white,male,0,0,50,united-states,<=50K
45,local-gov,119199,assoc-acdm,12,divorced,prof-specialty,unmarried,white,female,0,0,48,united-states,<=50K
46,private,42972,masters,14,married-civ-spouse,prof-specialty,wife,white,female,0,0,22,united-states,>50K
28,private,110981,some-college,10,never-married,other-service,not-in-family,white,male,0,0,40,united-states,<=50K
20,self-emp-not-inc,211466,hs-grad,9,never-married,transport-moving,own-child,white,male,0,0,80,united-states,<=50K
54,private,175262,7th-8th,4,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,<=50K
25,private,164488,bachelors,13,never-married,tech-support,not-in-family,white,male,0,0,40,united-states,<=50K
55,private,211678,assoc-voc,11,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,45,united-states,<=50K
60,local-gov,124987,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,7298,0,40,united-states,>50K
46,local-gov,175754,masters,14,divorced,prof-specialty,not-in-family,white,female,0,1876,60,united-states,<=50K
21,private,126613,some-college,10,never-married,other-service,own-child,white,female,0,0,40,united-states,<=50K
51,self-emp-not-inc,306784,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,30,united-states,<=50K
28,private,185957,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,<=50K
46,private,116666,hs-grad,9,divorced,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50K
62,self-emp-inc,236096,hs-grad,9,divorced,exec-managerial,not-in-family,black,male,0,0,40,united-states,<=50K
43,private,178780,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,49,united-states,>50K
28,federal-gov,183151,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,60,united-states,<=50K
27,private,108431,some-college,10,never-married,craft-repair,not-in-family,black,male,0,0,40,united-states,<=50K
35,state-gov,318891,assoc-acdm,12,widowed,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50K
30,private,310889,assoc-voc,11,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50K
24,private,329852,hs-grad,9,never-married,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50K
56,private,201344,some-college,10,widowed,craft-repair,unmarried,white,female,0,0,38,united-states,<=50K
25,private,125491,some-college,10,never-married,other-service,not-in-family,asian-pac-islander,female,0,0,34,united-states,<=50K
38,private,85074,assoc-acdm,12,divorced,adm-clerical,unmarried,white,female,0,0,40,united-states,<=50K
34,private,242361,some-college,10,married-civ-spouse,prof-specialty,husband,black,male,0,0,50,united-states,<=50K
40,private,235371,assoc-voc,11,divorced,prof-specialty,unmarried,white,male,0,0,40,united-states,<=50K
44,private,124924,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,mexico,<=50K
25,private,189219,bachelors,13,never-married,tech-support,own-child,white,female,0,0,16,united-states,<=50K
32,private,209538,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,55,united-states,>50K
17,private,317702,9th,5,never-married,other-service,own-child,black,female,0,0,40,united-states,<=50K
54,local-gov,54377,masters,14,divorced,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50K
66,private,180211,bachelors,13,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,30,philippines,<=50K
36,private,207853,hs-grad,9,divorced,craft-repair,own-child,white,male,0,0,40,united-states,<=50K
31,private,222130,some-college,10,never-married,adm-clerical,not-in-family,white,female,0,0,43,united-states,<=50K
23,private,131275,hs-grad,9,never-married,craft-repair,own-child,amer-indian-eskimo,male,0,0,40,united-states,<=50K
33,federal-gov,293550,some-college,10,married-civ-spouse,tech-support,wife,white,female,4064,0,40,united-states,<=50K
37,private,105021,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,>50K
30,private,101859,7th-8th,4,never-married,craft-repair,not-in-family,white,male,0,0,50,united-states,<=50K
81,,147097,bachelors,13,widowed,,not-in-family,white,male,0,0,5,united-states,<=50K
22,private,496025,some-college,10,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,<=50K
29,private,383745,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,1887,30,united-states,>50K
28,private,389713,hs-grad,9,divorced,protective-serv,not-in-family,white,male,0,0,40,united-states,<=50K
62,local-gov,136787,hs-grad,9,divorced,transport-moving,other-relative,white,male,0,0,40,united-states,<=50K
27,private,243569,11th,7,married-civ-spouse,handlers-cleaners,husband,white,male,3942,0,40,united-states,<=50K
31,private,181091,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,>50K
33,private,62155,some-college,10,never-married,sales,not-in-family,black,male,0,0,35,united-states,<=50K
26,private,224943,assoc-voc,11,never-married,sales,other-relative,black,male,0,0,65,united-states,<=50K
20,private,227411,some-college,10,never-married,other-service,own-child,white,female,0,0,20,united-states,<=50K
24,private,190968,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,<=50K
30,private,188798,some-college,10,divorced,other-service,own-child,white,female,0,0,20,united-states,<=50K
22,private,267174,hs-grad,9,never-married,handlers-cleaners,own-child,black,male,0,0,40,united-states,<=50K
64,federal-gov,388594,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,15024,0,45,,>50K
18,private,268952,12th,8,never-married,other-service,own-child,white,male,0,0,20,united-states,<=50K
32,private,211349,10th,6,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,<=50K
41,private,76625,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
30,,157289,11th,7,never-married,,unmarried,white,male,0,0,40,united-states,<=50K
34,private,176469,bachelors,13,never-married,sales,not-in-family,white,male,0,0,38,united-states,<=50K
21,,219835,assoc-voc,11,never-married,,not-in-family,white,male,0,0,40,united-states,<=50K
53,private,204584,masters,14,divorced,sales,not-in-family,white,female,0,0,40,united-states,<=50K
45,private,179135,hs-grad,9,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
31,self-emp-not-inc,44503,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
70,private,30713,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,30,united-states,<=50K
46,private,188325,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,0,40,united-states,<=50K
41,self-emp-inc,145441,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50K
17,self-emp-inc,181608,10th,6,never-married,sales,own-child,white,male,0,0,12,united-states,<=50K
42,private,77373,some-college,10,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,38,united-states,<=50K
24,private,321763,hs-grad,9,never-married,exec-managerial,not-in-family,white,male,0,0,38,united-states,<=50K
44,private,232421,hs-grad,9,married-spouse-absent,transport-moving,not-in-family,other,male,0,0,32,canada,<=50K
50,local-gov,141875,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,<=50K
19,private,456572,hs-grad,9,never-married,farming-fishing,other-relative,white,male,0,0,35,united-states,<=50K
36,private,211022,assoc-voc,11,divorced,prof-specialty,not-in-family,white,male,0,0,40,united-states,>50K
33,private,246038,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50K
32,private,158438,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,60,united-states,>50K
54,private,118793,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,45,united-states,<=50K
54,local-gov,178356,9th,5,married-civ-spouse,other-service,husband,white,male,0,0,40,united-states,<=50K
27,local-gov,163862,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,60,united-states,<=50K
29,private,145011,some-college,10,never-married,craft-repair,own-child,white,male,0,0,40,united-states,<=50K
29,private,179008,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,55,united-states,<=50K
